iter	Passed	Remaining
466	749	855
467	751	853
468	752	852
469	753	850
470	755	848
471	757	847
472	758	845
473	760	844
474	762	843
475	764	841
476	765	839
477	767	838
478	768	836
479	770	834
480	772	833
481	773	831
482	775	829
483	777	828
484	778	827
485	780	825
486	781	823
487	783	822
488	786	821
489	788	820
490	789	818
491	791	817
492	793	815
493	795	814
494	796	813
495	798	811
496	800	809
497	801	807
498	803	806
499	805	805
500	807	803
501	808	802
502	810	800
503	811	798
504	812	796
505	815	796
506	818	795
507	820	794
508	822	793
509	824	792
510	826	790
511	828	789
512	829	787
513	831	785
514	832	783
515	833	782
516	835	780
517	836	778
518	838	776
519	840	775
520	843	775
521	845	774
522	848	773
523	850	773
524	852	771
525	855	771
526	857	769
527	858	767
528	861	766
529	863	765
530	866	765
531	868	763
532	869	762
533	871	760
534	872	758
535	874	756
536	876	755
537	878	754
538	881	753
539	883	752
540	885	751
541	887	749
542	888	747
543	889	745
544	891	744
545	892	742
546	893	740
547	895	738
548	897	737
549	898	735
550	900	733
551	901	731
552	903	730
553	905	728
554	906	726
555	908	725
556	910	724
557	912	723
558	914	721
559	916	719
560	918	718
561	919	716
562	921	715
563	923	713
564	925	712
565	927	711
566	929	709
567	931	708
568	932	706
569	941	710
570	944	709
571	947	708
572	949	707
573	952	706
574	955	706
575	958	705
576	961	704
577	963	703
578	965	702
579	967	700
580	970	699
581	972	698
582	974	696
583	976	695
584	978	694
585	981	693
586	983	691
587	984	689
588	987	689
589	990	688
590	993	687
591	994	685
592	997	684
593	998	682
594	1000	681
595	1003	680
596	1005	678
597	1008	677
598	1009	676
599	1011	674
600	1013	672
601	1015	671
602	1017	669
603	1019	668
604	1021	667
605	1024	665
606	1026	664
607	1028	662
608	1030	661
609	1032	659
610	1035	659
611	1039	659
612	1041	657
613	1043	656
614	1045	654
615	1047	653
616	1050	652
617	1053	650
618	1055	649
619	1058	648
620	1060	647
621	1062	645
622	1066	645
623	1070	644
624	1073	644
625	1075	642
626	1077	641
627	1080	639
628	1082	638
629	1085	637
630	1087	636
631	1089	634
632	1091	633
633	1093	631
634	1096	630
635	1099	629
636	1102	628
637	1104	626
638	1106	624
639	1110	624
640	1114	624
641	1115	622
642	1118	620
643	1119	619
644	1121	617
645	1123	615
646	1125	613
647	1127	612
648	1129	610
649	1130	608
650	1133	607
651	1135	605
652	1136	604
653	1138	602
654	1140	600
655	1141	598
656	1143	597
657	1145	595
658	1148	594
659	1149	592
660	1151	590
661	1153	588
662	1154	587
663	1156	585
664	1159	583
665	1161	582
666	1162	580
