iter	Logloss
0	0.6580556951
1	0.6264795545
2	0.6017315464
3	0.5794546342
4	0.5573904483
5	0.5421273493
6	0.5272263297
7	0.5126903841
8	0.5003190161
9	0.4892316706
10	0.4767554745
11	0.468428123
12	0.4629356494
13	0.4554879491
14	0.4488983485
15	0.4458176288
16	0.4409456943
17	0.4373751966
18	0.4330562063
19	0.4275600049
20	0.4249021411
21	0.4217100456
22	0.4184623669
23	0.4159193093
24	0.4128200152
25	0.4112104124
26	0.4093733985
27	0.4073169356
28	0.4065573711
29	0.4045618594
30	0.404032113
31	0.4029123885
32	0.4008321208
33	0.3999566873
34	0.3985816114
35	0.3982267135
36	0.3972565687
37	0.3956240919
38	0.3950730705
39	0.3950018019
40	0.3944058391
41	0.394149408
42	0.3925870351
43	0.3921546772
44	0.3900589495
45	0.3890439166
46	0.3889809348
47	0.3885458362
48	0.387990438
49	0.3871861427
50	0.3867268173
51	0.3865195474
52	0.386169823
53	0.3857840674
54	0.3849402822
55	0.3838768628
56	0.3834227908
57	0.3834124144
58	0.3827257639
59	0.3821179325
60	0.381592485
61	0.380741473
62	0.3800849289
63	0.3798852088
64	0.3796012419
65	0.3788353404
66	0.3786212084
67	0.3771079611
68	0.3765266755
69	0.3756042799
70	0.3755470948
71	0.3751949664
72	0.3748038776
73	0.3740378647
74	0.3738035417
75	0.373539518
76	0.3728478629
77	0.3727867878
78	0.3723573679
79	0.3717880061
80	0.3717713311
81	0.371499162
82	0.3714273669
83	0.3700486627
84	0.3699978456
85	0.3697553424
86	0.369486997
87	0.3692845801
88	0.3689472611
89	0.368558665
90	0.3676029574
91	0.3659716445
92	0.3655670401
93	0.3651727513
94	0.3648292541
95	0.3638001247
96	0.3628226356
97	0.3627404784
98	0.3626536687
99	0.362436864
100	0.3623711638
101	0.3622280778
102	0.3622280721
103	0.3619134341
104	0.3613447529
105	0.3611327696
106	0.361057659
107	0.3607252914
108	0.3604970768
109	0.3600059021
110	0.3598295696
111	0.3597534945
112	0.3596003886
113	0.3595103441
114	0.3594680537
115	0.3592947866
116	0.3592422792
117	0.3589945068
118	0.358606342
119	0.3581050312
120	0.3574818958
121	0.3571369594
122	0.3569699358
123	0.3567766786
124	0.3567383506
125	0.3565233694
